row	student	problem	outcome	KC
258	7	1291	0	203
259	7	1291	0	203
260	7	1291	0	203
261	7	1291	1	203
262	7	5758	0	169
263	7	2678	0	122
264	7	2556	0	56
265	7	1259	1	45
266	7	894	0	108
267	7	459	1	242
268	7	492	0	227
269	7	5688	0	48
270	7	1537	0	12
271	7	125	0	22
272	7	1048	0	107
273	7	1619	0	192
274	7	1619	0	192
275	7	1619	0	192
276	7	1619	1	192
277	7	5766	0	25
278	7	2624	0	163
279	7	1428	0	226
280	7	1428	0	226
281	7	467	0	224
282	7	467	0	20
283	7	467	0	20
284	7	467	0	20
285	7	467	1	20
286	7	467	1	115
287	7	467	0	197
288	7	467	0	197
289	7	467	1	197
290	7	467	0	13
291	7	467	0	13
292	7	467	1	13
293	7	467	0	85
294	7	467	1	85
295	7	1523	0	206
296	7	2538	0	128
297	7	3765	0	63
298	7	2471	0	24
299	7	539	0	37
300	7	539	0	37
301	7	539	1	37
302	7	539	0	105
303	7	539	0	105
304	7	539	0	105
305	7	539	1	105
306	7	1103	1	98
307	7	1162	0	174
308	7	5784	1	204
309	7	1172	0	193
310	7	458	0	54
311	7	458	0	54
312	7	458	1	54
313	7	5689	0	120
314	7	517	0	53
315	7	2629	0	161
316	7	152	0	118
317	7	1360	0	73
318	7	1221	0	23
319	7	2520	0	30
320	7	1287	0	219
321	7	5756	0	170
322	7	1255	1	229
323	7	255	0	177
324	8	9249	0	217
325	8	9249	0	217
326	8	9249	0	217
327	8	9249	1	217
328	8	3130	1	159
329	8	9243	1	93
330	8	5758	0	169
331	8	1158	0	7
332	8	1552	0	171
333	8	1552	1	171
334	8	1184	0	211
335	8	5761	1	131
336	8	1365	0	146
337	9	5756	0	170
338	9	5756	0	170
339	9	5756	0	170
340	9	5756	1	170
341	9	1069	0	181
342	9	1206	0	49
343	9	1206	0	49
344	9	4701	1	10
345	9	566	0	119
346	10	5766	0	25
347	10	4690	1	11
348	10	935	0	246
349	10	935	1	246
350	10	727	1	179
351	10	7674	1	81
352	10	1298	0	184
353	10	2654	1	148
354	10	5762	1	28
355	10	805	1	5
356	10	5793	0	160
357	10	5793	1	160
358	10	5738	0	111
359	10	5738	1	111
360	10	857	1	106
361	10	5513	0	117
362	10	1098	0	19
363	10	1365	1	146
364	10	1189	1	40
365	10	3133	1	6
366	10	1547	1	134
367	10	2247	1	87
368	10	2562	0	187
369	10	5633	0	68
370	10	5758	0	169
371	10	1537	1	12
372	10	7	1	95
373	10	757	1	35
374	11	1523	0	206
375	12	8752	1	82
376	12	8752	1	243
377	12	8749	1	29
378	12	8749	1	100
379	12	8748	1	42
380	12	8748	1	207
381	12	8748	0	102
382	12	8748	1	102
383	12	8800	0	112
384	12	8800	0	112
385	12	8800	1	112
386	12	8800	1	167
387	12	8800	1	210
388	12	8800	0	59
389	12	8800	1	59
390	12	8770	0	3
391	12	8716	1	125
392	12	8789	1	66
393	12	8783	1	208
394	13	1291	0	203
395	13	5758	1	169
396	13	1317	0	220
397	13	2678	1	122
398	13	49	0	76
399	13	49	0	121
400	13	49	1	121
401	13	49	1	79
402	13	49	1	2
403	13	7674	1	81
404	13	13230	0	139
405	13	13230	1	78
406	13	13230	1	123
407	13	1069	1	181
408	13	5738	0	111
409	13	5738	1	111
410	13	5774	0	27
411	13	5774	1	27
412	13	1149	1	17
413	13	3146	0	77
414	13	3146	0	86
415	13	3146	1	86
416	13	3146	0	135
417	13	3146	0	135
418	13	3146	1	135
419	13	3146	1	157
420	13	2526	1	252
421	13	2526	0	69
422	13	2526	0	69
423	13	2526	1	69
424	13	2526	1	16
425	13	180	1	143
426	13	9243	1	93
427	13	3130	1	159
428	13	9249	1	217
429	13	1317	1	220
430	13	5763	0	165
431	13	5763	0	165
432	13	5763	1	165
433	13	3130	1	71
434	13	5688	0	48
435	13	2471	1	24
436	13	3133	0	6
437	13	1384	1	52
438	13	839	0	43
439	13	467	0	224
440	13	467	1	20
441	13	467	1	115
442	13	467	0	197
443	13	467	1	197
444	13	467	1	13
445	13	467	1	85
446	13	1549	1	96
447	13	1129	1	145
448	13	9243	1	93
449	13	3130	0	159
450	13	3130	1	159
451	13	9249	0	217
452	13	9249	0	217
453	13	9249	0	217
454	13	9249	1	217
455	13	243	0	8
456	13	1428	0	226
457	13	1537	0	12
458	13	1537	1	12
459	13	2600	1	155
460	13	1580	0	136
461	13	1214	1	241
462	13	2465	1	250
463	13	226	1	147
464	13	3110	1	104
465	13	3110	0	126
466	13	3110	1	126
467	13	3110	0	189
468	13	3110	0	189
469	13	3110	0	189
470	13	3110	1	189
471	13	333	0	186
472	13	333	1	228
473	13	333	0	251
474	13	333	0	251
475	13	333	1	251
476	13	333	1	60
477	13	5773	0	18
478	13	1184	1	211
479	13	3755	0	144
480	13	1172	0	193
481	13	891	0	41
482	14	1250	0	164
483	14	1303	0	34
484	14	1549	0	96
485	14	1549	0	96
486	14	1549	0	96
487	14	1549	0	96
488	14	1549	0	96
489	14	1549	0	96
490	14	1549	0	96
491	14	1549	0	96
492	14	1549	0	96
493	14	1549	0	96
494	14	1549	0	96
495	14	1549	0	96
496	14	1549	0	96
497	14	1549	1	96
498	14	5478	0	175
499	14	5478	0	175
500	14	5478	1	175
501	14	1241	0	130
502	14	8749	1	29
503	14	8749	0	100
504	14	8749	1	100
505	14	8800	0	112
506	14	8800	1	112
507	14	8800	0	167
508	14	8800	1	167
509	14	8800	1	210
510	14	8800	0	59
511	14	8800	1	59
512	14	8748	1	42
513	14	8748	1	207
514	14	8748	0	102
515	14	8748	1	102
516	14	8752	1	82
517	14	8752	0	243
518	14	8752	0	243
519	14	8752	0	243
520	14	8752	1	243
521	14	8783	0	208
522	14	8783	0	205
523	14	8783	1	205
524	14	8783	1	103
525	14	8783	0	138
526	14	8783	1	138
527	14	8770	1	3
528	14	8716	0	154
529	14	8716	0	154
530	14	8716	1	154
531	14	8716	0	233
532	14	8716	0	233
533	14	8716	1	233
534	14	8716	0	89
535	14	8716	1	89
536	14	8716	0	149
537	14	8716	1	149
538	14	8789	0	66
539	14	8789	1	65
540	14	8789	0	46
541	14	8789	1	46
542	14	1241	1	130
543	14	1167	0	235
544	14	1552	0	171
545	14	1552	0	171
546	14	1552	1	171
547	14	5513	1	117
548	14	3146	1	86
549	14	3146	0	135
550	14	3146	1	135
551	14	3146	0	157
552	14	3146	0	157
553	14	3146	0	157
554	14	3146	1	157
555	14	5774	0	27
556	14	5774	1	27
557	14	3633	0	114
558	14	3633	0	44
559	14	3633	0	44
560	14	3633	0	44
561	14	3633	0	44
562	14	3633	1	44
563	14	3633	0	214
564	14	3633	0	214
565	14	3633	0	214
566	14	3633	1	214
567	14	8920	0	91
568	14	2642	1	58
569	14	13216	0	109
570	14	13230	1	139
571	14	5738	0	111
572	14	5738	0	111
573	14	5738	1	111
574	14	467	1	224
575	14	49	0	76
576	14	49	0	121
577	14	49	1	121
578	14	49	0	79
579	14	49	1	79
580	14	49	1	2
581	14	13219	0	236
582	14	1229	0	190
583	14	5688	0	48
584	14	894	0	108
585	14	1103	0	98
586	14	935	0	246
587	14	561	0	83
588	14	2678	1	122
589	14	7	0	95
590	14	7	0	95
591	14	7	0	95
592	14	833	1	222
593	14	829	0	140
594	14	4690	0	11
595	14	654	0	116
596	14	654	0	116
597	14	1259	1	45
598	14	898	0	195
599	14	349	0	61
600	14	566	0	119
601	14	1327	0	253
602	14	4731	0	156
603	14	3121	1	21
604	14	7674	0	81
605	14	891	0	41
606	14	2520	0	30
607	14	1360	0	73
608	14	5760	1	80
609	14	1079	0	215
610	14	243	0	8
611	14	492	0	227
612	14	3163	0	200
613	14	1221	0	23
614	14	37	0	132
615	14	3157	0	194
616	15	1522	0	213
617	15	1552	0	171
618	15	1552	0	171
619	15	1552	1	171
620	15	5440	0	57
621	15	492	0	227
622	15	492	0	227
623	15	2227	0	99
624	16	1090	1	150
625	16	894	1	108
626	16	1229	1	190
627	16	2520	1	30
628	16	1162	1	174
629	16	898	1	195
630	16	1537	1	12
631	16	1149	1	17
632	16	5773	1	18
633	16	5688	1	48
634	16	5478	1	175
635	16	1303	1	34
636	16	61	0	129
637	16	3146	0	77
638	16	3146	0	86
639	16	3146	0	86
640	16	3146	1	86
641	17	31	1	137
642	17	2465	0	250
643	17	5478	1	175
644	18	300	0	176
645	18	2465	1	250
646	18	2247	0	87
647	18	5760	1	80
648	18	1317	0	220
649	18	733	1	74
650	18	2465	0	250
651	18	49	0	76
652	18	49	0	121
653	18	49	1	121
654	18	49	1	79
655	18	49	1	2
656	18	1360	1	73
657	19	727	1	179
658	19	31	0	137
659	19	1098	1	19
660	19	2442	0	1
661	20	13230	0	78
662	20	13230	0	78
663	20	13230	0	78
664	20	13230	0	78
665	20	13230	0	78
666	20	13230	0	78
667	20	13230	0	78
668	20	13230	0	78
669	20	13230	1	78
670	20	13230	0	123
671	20	13230	1	123
672	20	5738	0	111
673	20	1103	1	98
674	20	1552	0	171
675	20	1552	0	171
676	20	1552	1	171
677	20	1327	0	253
678	20	5738	0	111
679	20	5738	0	111
680	20	5738	1	111
681	20	49	0	121
682	20	49	1	121
683	20	49	0	79
684	20	49	0	79
685	20	49	1	79
686	20	49	1	2
687	20	2678	0	122
688	20	3146	0	77
689	20	3146	1	86
690	20	3146	0	135
691	20	3146	0	135
692	20	3146	1	135
693	20	3146	0	157
694	20	3146	0	157
695	20	3146	1	157
696	20	1149	0	17
697	20	5774	1	27
698	20	3633	0	114
699	20	3633	1	44
700	20	9117	0	15
701	20	3630	0	237
702	20	3630	1	38
703	20	3630	1	225
704	20	3618	0	223
705	21	3130	0	159
706	21	3130	1	159
707	21	5738	1	111
708	21	7674	1	81
709	21	626	0	240
710	21	5793	1	160
711	21	805	0	5
712	21	5756	0	170
713	21	5756	0	170
714	21	5756	1	170
715	21	1255	0	229
716	21	5633	0	68
717	21	1109	1	182
718	21	3146	1	77
719	21	2526	0	141
720	21	2526	1	252
721	21	2526	1	69
722	21	2526	1	16
723	21	1552	0	171
724	21	1552	0	171
725	21	1552	1	171
726	21	492	0	227
727	21	2512	0	72
728	21	1580	0	136
729	21	243	0	8
730	21	1214	1	241
731	21	2671	0	64
732	21	2562	0	187
733	21	517	0	53
734	21	61	1	129
735	21	1221	0	23
736	21	2363	1	254
737	22	1206	0	49
738	22	1162	0	174
739	23	5738	1	111
740	23	458	1	54
741	23	1176	1	209
742	23	1365	1	146
743	23	1262	1	47
744	23	1547	0	134
745	23	1523	0	206
746	24	5758	1	169
747	24	3151	0	232
748	24	4690	0	11
749	24	4690	1	11
750	24	5774	1	27
751	24	3146	0	77
752	24	3146	0	86
753	24	3146	1	86
754	24	3146	0	135
755	24	3146	0	135
756	24	3146	0	135
757	24	3146	1	135
758	24	3146	1	157
759	24	1133	0	238
760	24	1133	0	238
761	24	2498	0	162
762	24	5478	1	175
763	24	1523	0	206
764	24	1176	1	209
765	24	3121	0	21
766	24	1619	1	192
767	24	333	0	186
768	24	333	1	228
769	24	333	0	251
770	24	333	1	251
771	24	333	1	60
772	24	566	0	119
773	24	906	0	201
774	24	1098	0	19
775	24	857	0	106
776	24	1291	0	203
777	24	1291	0	203
778	24	1291	0	203
779	24	1291	1	203
780	24	1233	0	234
781	24	2471	1	24
782	24	2520	0	30
783	24	4731	1	156
784	24	5766	1	25
785	24	1365	0	146
786	24	5763	1	165
787	24	300	0	176
788	24	5476	0	39
789	24	2654	0	148
790	24	2590	0	75
791	24	1214	0	241
792	24	458	0	54
793	24	458	0	54
794	24	458	0	54
795	24	458	1	54
796	24	539	1	37
797	24	539	1	105
798	24	5704	0	172
799	24	891	0	41
800	24	2543	1	231
801	24	1360	0	73
802	24	3130	1	159
803	24	2642	0	191
804	24	2642	0	191
805	24	2642	0	191
806	24	2642	1	191
807	24	2642	1	188
808	24	5513	0	117
809	24	1172	0	193
810	24	1303	0	34
811	24	2477	0	127
812	24	1597	1	84
813	25	2503	1	26
814	25	2442	1	1
815	25	2512	0	72
816	25	467	0	224
817	25	467	1	20
818	25	467	0	115
819	25	467	1	115
820	25	467	0	197
821	25	467	1	197
822	25	467	0	13
823	25	467	0	13
824	25	467	1	13
825	25	467	1	85
826	25	349	0	61
827	25	566	0	119
828	25	1360	0	73
829	25	5766	0	25
830	25	1086	0	110
831	25	1224	0	185
832	25	1224	0	185
833	26	1549	1	96
834	26	1619	0	192
835	26	1619	0	192
836	26	1619	0	192
837	26	1619	1	192
838	26	2543	1	231
839	26	2471	0	24
840	26	1246	1	51
841	26	654	0	116
842	26	175	0	168
843	26	3110	0	70
844	26	3110	1	104
845	26	3110	0	126
846	26	3110	1	126
847	26	3110	1	189
848	26	3103	0	36
849	26	8723	0	216
850	26	3151	0	232
851	26	3130	0	159
852	26	3130	1	159
853	26	9249	1	217
854	26	9243	0	93
855	26	9243	1	93
856	26	8704	0	62
857	26	8777	0	244
858	26	8777	0	244
859	26	3146	1	77
860	26	5774	0	27
861	26	5774	0	27
862	26	5774	1	27
863	26	3618	1	223
864	26	3630	0	38
865	26	3630	0	38
866	26	3630	0	38
867	26	3630	0	38
868	26	3630	1	38
869	26	3630	1	225
870	26	2642	1	191
871	26	2642	1	188
872	26	5738	0	111
873	26	5738	1	111
874	26	13230	0	139
875	26	13230	1	78
876	26	13230	1	123
877	26	333	1	228
878	26	333	1	251
879	26	333	1	60
880	26	13219	0	236
881	26	49	1	121
882	26	49	1	79
883	26	49	1	2
884	26	8788	1	230
885	26	8783	0	208
886	26	8783	0	205
887	26	8783	1	205
888	26	8783	0	103
889	26	8783	0	103
890	26	8783	1	103
891	26	8783	0	138
892	26	8783	1	138
893	26	8789	0	66
894	26	8789	0	65
895	26	8789	0	65
896	26	8789	0	65
897	26	8789	1	65
898	26	8789	0	46
899	26	8789	0	46
900	26	8789	0	46
901	26	8789	1	46
902	26	8716	0	125
903	26	8716	0	154
904	26	8716	1	154
905	26	8716	0	233
906	26	8716	0	233
907	26	8716	1	233
908	26	8716	1	89
909	26	8716	0	149
910	26	8716	1	149
911	26	8770	0	3
912	26	2508	0	221
913	26	1048	0	107
914	26	467	0	224
915	26	467	1	20
916	26	467	1	115
917	26	467	1	197
918	26	467	1	13
919	26	467	0	85
920	26	467	0	85
921	26	467	1	85
922	26	333	1	186
923	26	2247	0	87
924	26	5738	0	111
925	26	5738	0	111
926	26	5738	1	111
927	26	1365	0	146
928	26	2548	0	158
929	26	2548	0	158
930	26	2548	0	158
931	26	2548	1	158
932	26	2744	0	248
933	26	2608	1	92
934	26	2678	1	122
935	26	2538	0	128
936	26	2227	0	99
937	26	1233	1	234
938	26	1250	0	164
939	26	891	1	41
940	26	61	0	129
941	26	1167	0	235
942	26	326	0	153
943	26	898	0	195
944	26	539	1	37
945	26	539	1	105
946	26	539	1	37
947	26	539	1	105
948	26	5478	1	175
949	26	1184	1	211
950	26	3103	0	36
951	26	2520	0	30
952	26	2620	1	183
953	26	5772	0	67
954	26	1079	0	215
955	26	1079	1	215
956	26	2487	1	196
957	26	2740	1	33
958	26	4692	1	124
959	26	458	1	54
960	26	1580	0	136
961	26	5763	1	165
962	26	1547	0	134
963	26	1149	0	17
964	27	3146	1	77
965	27	539	0	37
966	27	539	0	37
967	27	539	1	37
968	27	539	1	105
969	27	2683	0	94
970	27	333	0	186
971	27	333	1	228
972	27	333	1	251
973	27	333	1	60
974	27	5763	0	165
975	27	5763	1	165
976	27	2642	0	58
977	27	2642	1	191
978	27	2642	0	188
979	27	2642	1	188
980	27	1522	1	213
981	27	3110	1	70
982	27	805	1	5
983	27	3121	0	21
984	27	5476	1	39
985	27	22	1	101
986	27	2556	0	56
987	27	7	0	95
988	27	2620	0	183
989	27	1246	0	51
990	27	1246	0	51
991	27	517	0	53
992	27	2562	0	187
993	27	2562	0	187
994	27	31	1	137
995	27	255	0	177
996	27	3765	0	63
997	27	1233	0	234
998	27	1069	0	181
999	27	2487	1	196
1000	27	2227	0	99
1001	27	2227	0	99
1002	27	2227	0	99
1003	27	3077	0	199
1004	27	1291	1	203
1005	27	125	1	22
1006	27	2624	1	163
1007	27	1384	1	52
1008	27	5738	0	111
1009	27	5738	1	111
1010	27	3130	1	159
1011	27	538	0	180
1012	27	538	1	180
1013	27	1340	0	32
1014	28	355	0	9
1015	28	5440	1	57
1016	28	3163	0	200
1017	28	2363	1	254
1018	28	5793	1	160
1019	28	5689	0	120
1020	28	49	0	76
1021	28	49	1	121
1022	28	49	0	79
1023	28	49	1	79
1024	28	49	1	2
1025	28	1523	0	206
1026	28	2520	0	30
1027	28	5766	0	25
1028	28	5766	0	25
1029	28	805	0	5
1030	28	898	0	195
1031	28	2512	0	72
1032	28	510	0	198
1033	28	517	0	53
1034	28	467	1	20
1035	28	467	1	115
1036	28	467	1	197
1037	28	467	1	13
1038	28	467	1	85
1039	28	3133	0	6
1040	28	2683	0	94
1041	28	1298	1	184
1042	28	538	0	180
1043	28	538	1	180
1044	28	1193	0	202
1045	28	630	1	133
1046	28	561	1	83
1047	28	2503	1	26
1048	28	906	0	201
1049	28	5774	1	27
1050	28	180	1	143
1051	28	4692	0	124
1052	28	4692	1	124
1053	28	1214	1	241
1054	28	2678	0	122
1055	28	1158	0	7
1056	28	5688	0	48
1057	28	3146	1	86
1058	28	3146	1	135
1059	28	3146	1	157
1060	28	5738	0	111
1061	28	5738	1	111
1062	28	2548	1	158
1063	28	226	0	147
1064	28	5478	0	175
1065	28	5478	1	175
1066	28	458	0	54
1067	28	458	1	54
1068	28	3121	1	21
1069	28	2487	1	196
1070	28	1246	0	51
1071	28	536	1	166
1072	29	5633	1	68
1073	29	31	0	137
1074	29	1547	1	134
1075	29	4690	0	11
1076	29	935	0	246
1077	29	1524	0	218
1078	30	8723	0	216
1079	30	8704	1	62
1080	30	8788	0	230
1081	30	8770	1	3
1082	30	8783	0	208
1083	30	8783	0	205
1084	30	8783	1	205
1085	30	8783	1	103
1086	30	8783	0	138
1087	30	8783	0	138
1088	30	8783	1	138
1089	30	8789	1	66
1090	30	8716	1	125
1091	30	8777	0	244
1092	30	8704	0	62
1093	30	8788	0	230
1094	30	8723	0	216
1095	30	8789	0	66
1096	30	8789	1	65
1097	30	8789	1	46
1098	30	8770	1	3
1099	30	8783	0	208
1100	30	8783	1	205
1101	30	8783	1	103
1102	30	8783	0	138
1103	30	8783	0	138
1104	30	8783	0	138
1105	30	8783	1	138
1106	30	8716	1	125
1107	30	1317	0	220
1108	30	1317	1	220
1109	30	1176	0	209
1110	30	1523	0	206
1111	30	243	0	8
1112	30	1246	0	51
1113	30	458	0	54
1114	30	458	1	54
1115	30	2487	1	196
1116	30	1255	1	229
1117	30	561	0	83
1118	30	1184	1	211
1119	30	1162	0	174
1120	30	67	0	173
1121	30	1365	0	146
1122	30	1167	0	235
1123	30	5738	0	111
1124	30	5738	0	111
1125	30	5738	1	111
1126	30	180	1	143
1127	30	1233	0	234
1128	30	1597	0	84
1129	30	1597	1	84
1130	30	1221	0	23
1131	30	517	0	53
1132	30	3151	0	232
1133	31	1549	1	96
1134	31	3130	1	71
1135	31	9243	1	93
1136	31	9249	1	217
1137	31	3151	0	232
1138	31	90	1	55
1139	31	1172	0	193
1140	31	5766	1	25
1141	31	458	0	54
1142	31	458	0	54
1143	31	458	1	54
1144	31	2543	1	231
1145	31	2503	1	26
1146	31	898	0	195
1147	31	1262	1	47
1148	31	1370	1	14
1149	31	5478	1	175
1150	31	2498	1	162
1151	31	1189	0	40
1152	31	2477	1	127
1153	31	13230	0	139
1154	31	13230	1	78
1155	31	13230	1	123
1156	31	5774	1	27
1157	31	1149	1	17
1158	31	1069	1	181
1159	31	5738	1	111
1160	31	3146	1	77
1161	31	49	1	76
1162	31	2678	1	122
1163	31	175	0	168
1164	31	2608	1	92
1165	31	538	1	180
1166	31	1432	1	249
1167	31	1233	1	234
1168	31	1537	1	12
1169	31	935	0	246
1170	31	894	1	108
1171	31	2548	1	158
1172	31	510	1	198
1173	31	1298	1	184
1174	31	2508	1	221
1175	31	1552	0	171
1176	31	1552	1	171
1177	31	2744	0	248
1178	31	5784	1	204
1179	31	2629	1	161
1180	31	492	0	227
1181	31	1246	0	51
1182	31	2661	0	152
1183	31	7674	1	81
1184	31	255	1	177
1185	31	8920	1	91
1186	31	180	1	143
1187	31	3633	1	114
1188	31	467	1	224
1189	31	2661	0	152
1190	31	2620	0	183
1191	31	5763	0	165
1192	31	5763	1	165
1193	31	326	0	153
1194	31	1079	1	215
1195	31	1360	0	73
1196	31	2487	1	196
1197	32	180	0	143
1198	32	630	0	133
1199	32	630	1	133
1200	32	906	1	201
1201	32	5762	1	28
1202	32	8723	0	216
1203	32	8777	1	244
1204	32	8788	0	230
1205	32	8704	1	62
1206	32	8770	1	3
1207	32	8789	0	66
1208	32	8789	0	65
1209	32	8789	1	65
1210	32	8789	0	46
1211	32	8789	0	46
1212	32	8789	1	46
1213	32	8716	0	125
1214	32	8716	0	154
1215	32	8716	0	154
1216	32	8716	0	154
1217	32	8716	0	154
1218	32	8716	1	154
1219	32	8716	1	233
1220	32	8716	1	89
1221	32	8716	0	149
1222	32	8716	1	149
1223	32	8783	1	208
1224	32	5774	0	27
1225	32	5774	0	27
1226	32	5774	0	27
1227	32	5774	0	27
1228	32	5774	1	27
1229	32	3146	1	77
1230	32	3630	0	237
1231	32	3630	0	38
1232	32	3630	0	38
1233	32	3630	0	38
1234	32	3630	0	38
1235	32	3630	1	38
1236	32	3630	0	225
1237	32	3630	0	225
1238	32	3630	0	225
1239	32	3630	0	225
1240	32	3630	1	225
1241	32	3618	0	223
1242	32	2642	0	58
1243	32	2642	1	191
1244	32	2642	1	188
1245	32	13216	1	109
1246	32	13230	1	139
1247	32	5738	0	111
1248	32	5738	1	111
1249	32	333	0	186
1250	32	9117	1	15
1251	32	333	0	186
1252	32	333	0	228
1253	32	333	0	228
1254	32	333	0	228
1255	32	333	1	228
1256	32	333	1	251
1257	32	333	0	60
1258	32	333	0	60
1259	32	333	1	60
1260	32	13219	1	236
1261	32	49	0	76
1262	32	49	1	121
1263	32	49	1	79
1264	32	49	1	2
1265	32	1189	1	40
1266	32	1522	0	213
1267	32	2661	0	152
1268	32	1317	0	220
1269	32	2590	0	75
1270	32	1250	1	164
1271	32	3765	1	63
1272	32	805	1	5
